RECID	HHOLDID	NOVEH	NOIND	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	H15	H17	H18	H19	H20	H21	H22	H23	H24	H25	H26	H27	H28	H29	H30	H31	H32	H33	H34	H35	H36
1	5161	1	3	5	8	10	6	9	7	1	3	3	3	2	1	1	2	1	8	4	3	2	6	3	1	5	9	4	9	4	2	2	7	14	13	11	5	8
1	5162	0	6	6	11	10	6	9	7	1	4	3	3	1	1	1	1	1	2	1	8	2	11	3	1	6	4	3	4	1	4	1	7	10	12	8	6	10
1	5163	1	5	6	11	9	6	9	7	2	3	3	2	2	1	1	2	1	8	4	3	2	11	6	1	9	6	3	9	3	3	2	7	15	14	14	14	15
1	5164	0	2	3	4	10	2	10	3	1	4	3	3	1	1	1	1	1	8	4	8	1	5	1	3	9	2	7	2	2	1	2	3	7	9	5	5	1
1	5165	1	2	4	2	10	2	10	3	1	3	3	3	2	1	1	2	1	8	4	3	2	4	3	1	8	9	4	9	5	1	2	3	12	13	12	4	11
1	5166	1	2	5	2	10	2	10	3	1	3	3	3	2	1	1	2	1	8	4	3	2	4	6	1	2	11	5	12	7	1	2	3	12	13	13	1	11
1	5167	1	2	6	25	10	2	10	3	1	3	3	3	2	1	1	2	1	8	4	3	2	4	5	2	9	1	5	9	5	1	2	3	11	13	11	10	9
1	5168	1	2	7	2	10	2	10	3	1	3	3	3	2	1	1	2	1	8	4	3	2	4	5	1	1	9	5	10	6	1	2	3	10	12	11	1	11
1	5169	0	2	1	3	10	2	10	3	1	4	3	3	1	1	1	1	1	8	4	8	1	5	1	3	4	4	8	4	3	1	2	3	1	1	1	1	1
1	5170	1	2	4	25	10	7	8	2	1	3	3	3	2	1	1	2	1	8	4	3	2	4	3	1	10	2	6	2	2	1	2	2	11	13	6	1	7
1	5171	0	4	2	3	10	2	10	3	1	4	3	3	1	1	1	1	2	3	1	7	1	9	5	1	11	4	5	6	2	2	2	3	13	13	10	9	4
1	5172	0	3	1	13	10	6	9	7	1	4	3	3	1	1	1	1	1	2	1	8	2	7	6	1	10	4	5	9	4	1	2	7	15	14	14	14	15
1	5173	0	1	5	1	10	6	9	7	1	4	3	3	1	1	1	1	1	2	1	8	2	1	3	5	9	2	3	2	3	1	2	7	2	2	2	2	1
1	5174	0	5	5	6	9	6	9	7	1	4	3	3	1	1	1	1	3	2	1	7	1	12	7	1	9	13	4	13	8	3	1	7	13	13	7	7	8
1	5175	0	3	2	25	10	6	9	7	1	4	3	3	1	1	1	1	2	2	1	7	1	6	3	1	8	13	6	13	8	2	2	7	10	12	5	2	2
1	5176	0	2	5	14	10	4	9	7	1	4	3	3	1	1	1	1	1	2	1	8	1	3	5	1	10	5	2	8	5	1	2	7	10	12	7	7	8
1	5177	0	1	6	14	10	4	9	7	1	4	3	3	1	1	1	1	1	8	4	8	1	2	1	3	10	1	7	1	2	1	2	7	8	9	4	1	8
1	5178	1	5	1	16	10	4	9	7	1	3	3	3	2	1	1	2	1	8	4	3	4	12	6	1	1	9	4	10	3	3	2	7	14	13	13	2	6
1	5179	0	1	1	2	10	4	9	7	1	4	3	3	1	1	1	1	1	2	1	8	1	1	3	1	9	2	5	2	3	1	2	7	6	6	5	2	5
1	5180	0	1	2	25	10	4	9	7	2	4	3	1	1	1	1	1	1	8	4	8	1	2	1	4	18	1	8	14	1	1	2	7	15	14	14	14	15
1	5181	2	2	3	25	10	4	9	7	1	3	3	3	2	2	1	3	2	8	4	3	2	4	6	1	10	8	5	10	6	1	2	7	11	13	8	1	6
1	5182	0	4	3	25	10	4	9	7	1	4	3	3	1	1	1	1	2	8	4	7	1	8	3	1	9	10	3	10	4	3	1	7	11	13	12	4	14
1	5183	1	2	5	17	9	4	9	7	1	3	3	3	2	1	1	2	1	8	4	3	2	4	3	1	5	9	5	9	5	1	2	7	11	13	9	3	6
1	5184	0	8	7	9	10	6	9	7	1	4	3	3	1	1	1	1	1	2	1	8	1	11	3	1	11	4	3	4	1	4	1	7	14	13	9	11	8
1	5185	1	5	7	5	10	6	9	7	1	3	3	3	2	1	1	2	1	8	4	3	2	11	3	1	1	10	3	10	3	3	1	7	12	13	10	1	13
1	5186	0	2	1	25	10	6	9	7	1	4	3	3	1	1	1	1	1	2	1	8	1	4	6	1	4	7	5	10	6	1	2	7	9	10	7	9	3
1	5187	1	4	3	7	10	4	9	7	1	3	3	3	2	1	1	2	1	8	4	3	2	8	6	1	10	6	2	7	2	3	1	7	9	11	4	1	4
1	5188	0	1	3	25	10	4	9	7	2	4	3	1	1	1	1	1	1	8	4	8	1	2	1	4	18	1	7	14	1	1	2	7	15	14	14	14	15
1	5189	0	1	5	9	9	4	9	7	2	4	3	1	1	1	1	1	1	8	4	8	1	2	2	2	9	13	7	13	8	1	2	7	15	14	14	14	15
1	5190	1	4	5	25	10	4	9	7	2	3	2	1	2	1	1	2	2	8	4	3	6	10	6	1	9	6	5	13	8	1	2	7	15	14	14	14	15
1	5191	1	1	3	5	9	7	1	9	1	3	3	3	2	1	1	2	1	8	4	3	2	2	1	3	6	3	8	3	4	1	2	9	4	4	3	1	1
1	5192	0	2	4	25	10	7	1	9	1	4	3	3	1	1	1	1	1	8	4	8	1	5	1	3	5	2	8	2	2	1	2	9	3	4	2	2	1
1	5193	3	4	7	8	9	7	1	9	1	3	3	3	3	2	1	4	4	8	4	2	3	8	3	1	6	9	5	9	3	3	2	9	14	13	13	2	8
1	5194	1	3	1	10	9	7	1	9	1	3	3	3	1	1	1	2	3	8	4	9	2	7	3	3	9	2	7	8	3	1	2	9	10	13	11	9	8
1	5195	1	3	2	4	10	7	1	9	1	3	3	3	2	1	1	2	1	8	4	3	2	7	6	1	5	8	5	9	4	1	2	9	13	13	12	8	7
1	5196	0	1	4	1	10	7	1	9	1	4	3	3	1	1	1	1	2	2	1	7	1	1	3	1	6	4	6	4	5	1	2	9	6	7	9	1	11
1	5197	1	5	7	11	10	1	10	10	1	3	3	3	2	1	1	2	3	8	4	3	2	11	3	1	9	4	4	4	1	3	1	10	12	13	11	3	8
1	5198	0	2	1	8	10	1	10	10	1	4	3	3	1	1	1	1	1	8	4	8	1	5	1	3	6	1	8	1	1	1	2	10	3	3	4	5	1
1	5199	1	2	2	13	10	1	10	10	1	3	3	3	2	1	1	2	1	8	4	3	3	4	3	1	6	6	6	10	6	1	2	10	14	13	11	1	4
1	5200	0	1	2	2	10	1	10	10	1	4	3	3	1	1	1	1	1	8	4	8	1	2	1	3	8	1	8	1	2	1	2	10	2	2	5	1	6
1	5201	0	1	3	11	9	1	10	10	1	4	3	3	1	1	1	1	1	3	1	8	1	1	1	4	18	2	6	2	3	1	2	10	2	2	3	1	1
1	5202	0	2	7	25	10	1	10	10	1	4	3	3	1	1	1	1	2	8	4	7	1	5	1	4	18	2	7	2	2	2	2	10	7	11	9	1	8
1	5203	1	2	7	7	10	1	10	10	1	3	3	3	2	1	1	2	1	8	4	3	2	4	1	3	6	4	6	8	5	1	2	10	9	11	12	1	4
1	5204	0	2	2	7	10	3	1	10	1	4	3	3	1	1	1	1	1	8	4	8	6	5	1	3	12	1	8	1	1	1	2	10	6	7	7	1	4
1	5205	1	4	2	11	10	3	1	10	1	3	3	3	2	1	1	2	1	8	4	3	3	8	5	1	12	8	3	9	3	3	1	10	11	13	12	3	4
1	5206	0	1	3	6	9	1	10	10	1	4	3	3	1	1	1	1	1	8	4	8	1	2	1	3	7	1	8	1	2	1	2	10	1	1	1	1	1
1	5207	4	6	3	4	10	1	10	10	2	2	2	2	4	1	1	4	2	8	4	9	6	12	3	3	13	13	8	13	8	1	2	10	15	14	14	14	15
1	5208	1	4	3	25	10	1	10	10	2	3	3	2	2	1	1	2	1	8	4	3	3	8	5	1	9	5	2	6	2	3	1	10	15	14	14	14	15
1	5209	0	3	5	7	9	1	10	10	1	4	3	3	1	1	1	1	2	2	1	7	2	7	7	1	11	3	6	8	3	1	2	10	12	13	12	8	8
1	5210	2	2	5	2	10	3	1	10	1	3	3	3	3	1	1	3	1	8	4	2	3	3	3	1	5	7	2	9	5	1	2	10	14	13	12	3	12
1	5211	1	4	5	9	10	3	1	10	2	1	3	2	2	1	1	2	1	8	4	9	6	8	5	1	4	9	4	9	3	3	2	10	15	14	14	14	15
1	5212	3	4	6	1	10	3	1	10	1	3	3	3	2	1	3	4	3	8	4	1	3	8	5	1	2	8	3	9	3	3	1	10	14	13	13	1	9
1	5213	2	3	6	10	10	3	1	10	2	3	3	2	3	1	1	3	1	8	4	2	3	6	6	1	6	8	2	10	5	2	1	10	15	14	14	14	15
1	5214	0	1	6	15	9	3	1	10	1	4	3	3	1	1	1	1	1	8	4	8	1	2	1	3	10	1	8	1	2	1	2	10	1	1	1	1	1
